,id,neighbourhood_cleansed
627,3368882,Embajadores
628,3368885,Pacífico
629,3374974,Embajadores
630,3375035,Embajadores
631,3382630,Embajadores
632,3385580,Palacio
633,3389625,Embajadores
634,3392806,Trafalgar
635,3397465,Universidad
636,3419248,Palacio
637,3423709,Universidad
638,3425435,Embajadores
639,3428310,Embajadores
640,3428746,Universidad
641,3430791,Universidad
642,3439591,Cortes
643,3446903,Vista Alegre
644,3456354,San Juan Bautista
645,3457207,Cortes
646,3477490,Goya
647,3479383,Embajadores
648,3485567,Argüelles
649,3498203,Palacio
650,3501674,Pueblo Nuevo
651,3514869,Embajadores
652,3515284,Valverde
653,3515468,Justicia
654,3516746,Justicia
655,3517921,Universidad
656,3527783,Embajadores
657,3528999,Palacio
658,3529153,Palacio
659,3531042,Sol
660,3549046,Palos de Moguer
661,3552414,Castilla
662,3567597,Cortes
663,3584830,Sol
664,3588117,Embajadores
665,3589141,Niño Jesús
666,3590226,Palacio
667,3591352,Acacias
668,3593682,El Viso
669,3598873,Almagro
670,3599402,Imperial
671,3604139,Universidad
672,3606978,Trafalgar
673,3610905,Universidad
674,3613370,Recoletos
675,3624775,Ventas
676,3641547,Embajadores
677,3653355,Embajadores
678,3654455,Guindalera
679,3677219,Casa de Campo
680,3680191,Comillas
681,3680650,Jerónimos
682,3681753,Sol
683,3681786,Sol
684,3686364,Puerta Bonita
685,3691867,Sol
686,3712285,Embajadores
687,3717049,Palacio
688,3722238,Castilla
689,3727205,Universidad
690,3727225,Embajadores
691,3731234,Pacífico
692,3733819,Ibiza
693,3738662,Justicia
694,3742728,Embajadores
695,3746770,Palacio
696,3756051,Goya
697,3759217,Castilla
698,3762974,Almagro
699,3763652,Universidad
700,3764496,Castellana
701,3772268,Universidad
702,3776849,Embajadores
703,3778195,Sol
704,3780348,Pacífico
705,3782713,Universidad
706,3816076,Simancas
707,3819043,Palacio
708,3819941,Embajadores
709,3824546,Goya
710,3825317,Lista
711,3826572,Trafalgar
712,3833696,Fontarrón
713,3849729,Cortes
714,3850756,Sol
715,3853827,Cortes
716,3855338,Arapiles
717,3857504,Universidad
718,3858506,Palacio
719,3885520,Sol
720,3895070,Embajadores
721,3897893,Jerónimos
722,3901968,Ibiza
723,3908928,Cortes
724,3909843,Pinar del Rey
725,3920883,Guindalera
726,3944509,Salvador
727,3973113,Palacio
728,3975171,Embajadores
729,3985609,Sol
730,4001706,Recoletos
731,4009274,Jerónimos
732,4036586,Palacio
733,4038339,Bellas Vistas
734,4055217,Universidad
735,4067702,Embajadores
736,4068034,Trafalgar
737,4075286,Embajadores
738,4082994,Chopera
739,4083002,Chopera
740,4083330,Butarque
741,4109879,Sol
742,4110229,Embajadores
743,4118892,Sol
744,4131994,Costillares
745,4132363,Rios Rosas
746,4138973,Lucero
747,4153513,Embajadores
748,4154794,Goya
749,4155781,San Diego
750,4158564,Mirasierra
751,4160649,Universidad
752,4161286,Ibiza
753,4162483,Canillejas
754,4176704,Embajadores
755,4176994,Embajadores
756,4182457,Casa de Campo
757,4189593,Cortes
758,4193005,Embajadores
759,4201199,Almagro
760,4202733,Guindalera
761,4216775,Palacio
762,4230273,Palacio
763,4230554,Embajadores
764,4232982,Embajadores
765,4237155,Lista
766,4241259,Embajadores
767,4263173,Argüelles
768,4266974,Castellana
769,4276735,Embajadores
770,4295344,Cortes
771,4309709,Embajadores
772,4316495,Palacio
773,4327320,Universidad
774,4337324,Trafalgar
775,4340187,Imperial
776,4342918,Pacífico
777,4344855,Embajadores
778,4361146,Alameda de Osuna
779,4367064,Quintana
780,4376685,San Juan Bautista
781,4383859,Embajadores
782,4394265,Embajadores
783,4394370,Puerta del Angel
784,4394882,Puerta del Angel
785,4403346,Universidad
786,4407551,Cármenes
787,4411068,Palacio
788,4418512,Embajadores
789,4421901,Cortes
790,4447697,Quintana
791,4473361,Palos de Moguer
792,4474971,Justicia
793,4483457,Cuatro Caminos
794,4491361,Palacio
795,4491501,Universidad
796,4496392,Palacio
797,4511612,Canillas
798,4523822,Castellana
799,4544440,Aravaca
800,4575181,Embajadores
801,4577504,Universidad
802,4592672,Embajadores
803,4595967,Embajadores
804,4596183,Embajadores
805,4596225,Embajadores
806,4596254,Embajadores
807,4596316,Embajadores
808,4600543,Palacio
809,4604059,Embajadores
810,4604168,Acacias
811,4604854,Vista Alegre
812,4605519,Cortes
813,4634016,Embajadores
814,4634057,Justicia
815,4634466,Justicia
816,4634674,Justicia
