,index,neighbourhood_group,neighbourhood,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
95,95,San Blas - Canillejas,Arcos,,,,,31.0,,,163.0,30.5,30.0,31.0,45.0
96,96,San Blas - Canillejas,Canillejas,,,,,98.0,,,85.0,31.0,58.0,40.5,55.5
97,97,San Blas - Canillejas,Hellín,,,,,,,,,104.0,40.0,35.5,42.0
98,98,San Blas - Canillejas,Rejas,,,,,,,65.0,55.0,69.0,33.0,65.0,76.0
99,99,San Blas - Canillejas,Rosas,,,,,,,,550.0,,123.0,74.0,48.5
100,100,San Blas - Canillejas,Salvador,,,,,,,,,37.0,,72.5,49.0
101,101,San Blas - Canillejas,Simancas,,,,,300.0,22.0,,125.0,515.0,80.0,38.0,75.0
102,102,Tetuán,Almenara,,,,,60.0,37.0,30.5,44.0,39.0,229.5,110.0,77.0
103,103,Tetuán,Bellas Vistas,,,,,,56.0,79.0,90.0,80.5,40.0,71.5,81.0
104,104,Tetuán,Berruguete,,,,,40.0,65.0,125.5,271.0,68.0,161.0,30.5,78.5
105,105,Tetuán,Castillejos,,,,,26.0,40.0,80.0,62.0,51.0,90.0,90.0,96.0
106,106,Tetuán,Cuatro Caminos,,,,39.0,22.0,45.0,58.0,57.0,80.0,39.0,121.0,80.0
107,107,Tetuán,Valdeacederas,,,,,,20.0,51.5,40.0,106.0,37.0,59.5,75.5
108,108,Usera,Almendrales,,,,,,20.0,74.0,25.0,,85.5,85.0,53.0
109,109,Usera,Moscardó,,,,,,,34.5,30.0,,1316.0,50.0,60.0
110,110,Usera,Orcasitas,,,,,,,,125.0,,,,31.0
111,111,Usera,Orcasur,,,,,,63.0,25.0,20.0,75.0,,77.0,82.0
112,112,Usera,Pradolongo,,,,,,,,61.5,,17.0,47.0,40.0
113,113,Usera,San Fermín,,,,,,,,137.5,16.0,14.0,74.5,40.5
114,114,Usera,Zofío,,,,,,340.0,,28.0,,50.0,51.5,64.0
115,115,Vicálvaro,Ambroz,,,,,,,,,,25.0,35.0,30.0
116,116,Vicálvaro,Casco Histórico de Vicálvaro,,,,,70.0,50.0,,29.0,,32.0,32.0,57.5
117,117,Villa de Vallecas,Casco Histórico de Vallecas,,,,46.5,,,22.5,20.0,26.5,33.5,25.0,56.0
118,118,Villa de Vallecas,Santa Eugenia,,,,,,,,,45.0,,,50.0
119,119,Villaverde,Butarque,,,,,,,,15.0,,13.5,62.5,39.0
120,120,Villaverde,Los Angeles,,,,,,,,60.5,,46.0,79.0,27.0
121,121,Villaverde,Los Rosales,,,,,,,,30.0,45.0,,84.0,25.0
122,122,Villaverde,San Andrés,,,,,,,,16.0,16.0,19.0,67.0,67.0
123,123,Villaverde,San Cristobal,,,,,,,12.0,,,86.0,77.5,43.5
