,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,occupancy_rate
99,268275,Rental unit in Madrid · ★4.73 · 1 bedroom · 3 beds · 1 bath,1406073,Jose Antonio,Centro,Embajadores,40.412682,-3.702548,Entire home/apt,122,3,65,2023-04-01,0.47,1,188,4,0.4849315068493151
100,604632,Rental unit in Madrid · ★4.32 · 2 bedrooms · 2 beds · 1 bath,2993477,Patricia,Tetuán,Berruguete,40.457,-3.70436,Private room,24,2,68,2023-05-10,0.69,4,361,18,0.010958904109589041
101,605339,Home in Madrid · ★4.87 · 1 bedroom · 1 bed · 1 shared bath,2783896,Ivaylo,Latina,Lucero,40.40743,-3.74293,Private room,32,4,228,2023-05-30,1.74,3,14,25,0.9616438356164384
102,272279,Rental unit in Madrid · ★4.72 · 1 bedroom · 1 bed · 1 bath,1425071,Enrique,Centro,Embajadores,40.4093,-3.70884,Entire home/apt,119,5,192,2023-06-03,1.38,2,27,25,0.9260273972602739
103,280733,Serviced apartment in Madrid · ★4.77 · 1 bedroom · 2 beds · 1 bath,596469,Gabriel Avalos,Centro,Universidad,40.42457,-3.70802,Entire home/apt,146,1,53,2023-05-30,0.44,23,323,10,0.11506849315068493
105,281224,Rental unit in Madrid · ★4.51 · 1 bedroom · 2 beds · 1 bath,1466005,Pe,Centro,Palacio,40.41685,-3.70882,Entire home/apt,115,2,135,2023-05-16,1.65,1,346,10,0.052054794520547946
106,608742,Rental unit in Madrid · ★4.75 · Studio · 1 bed · 1 bath,3017315,Cristina,Centro,Palacio,40.41744,-3.70873,Entire home/apt,81,2,587,2023-06-04,4.45,5,20,64,0.9452054794520548
109,294520,Rental unit in Madrid · ★4.56 · 1 bedroom · 3 beds · 1 shared bath,1522694,Isdel Pablo,Centro,Justicia,40.42226,-3.69959,Private room,50,3,44,2023-05-28,0.44,4,345,9,0.0547945205479452
111,618576,Rental unit in Madrid · ★4.83 · Studio · 2 beds · 1 bath,3017315,Cristina,Centro,Palacio,40.41771,-3.70925,Entire home/apt,89,2,382,2023-06-01,2.92,5,9,48,0.9753424657534246
112,294529,Rental unit in Madrid · ★4.45 · 1 bedroom · 1 bed · 1 shared bath,1522694,Isdel Pablo,Centro,Justicia,40.42226,-3.69959,Private room,41,3,91,2023-05-29,0.66,4,337,16,0.07671232876712329
117,310333,Rental unit in Madrid · ★4.64 · 2 bedrooms · 4 beds · 1 bath,1596220,Paloma,Centro,Embajadores,40.40908,-3.69514,Entire home/apt,85,4,146,2023-01-24,1.12,1,249,12,0.3178082191780822
118,644656,Rental unit in Madrid · ★5.0 · 1 bedroom · 1 bed · 1 shared bath,3226403,Lili,Ciudad Lineal,Pueblo Nuevo,40.42432,-3.6399,Private room,35,7,4,2023-01-19,0.09,2,348,1,0.04657534246575343
119,655514,Rental unit in Madrid · ★4.75 · 1 bedroom · 2 beds · 1 shared bath,3226403,Lili,Ciudad Lineal,Pueblo Nuevo,40.42432,-3.6399,Private room,30,4,4,2023-05-02,0.86,2,255,4,0.3013698630136986
120,336672,Rental unit in Madrid · ★4.78 · 4 bedrooms · 4 beds · 2 baths,1716726,Jesús,Arganzuela,Delicias,40.39516,-3.69309,Entire home/apt,125,2,130,2023-05-29,1.94,1,50,46,0.863013698630137
121,661255,Rental unit in Madrid · ★4.67 · 1 bedroom · 1 bed · 1 bath,3338284,Sonia,Centro,Embajadores,40.41048049926758,-3.7063961029052734,Entire home/apt,119,2,45,2023-06-04,0.35,1,268,8,0.26575342465753427
122,336834,Rental unit in Madrid · ★4.62 · 2 bedrooms · 3 beds · 1 bath,1713427,Helena,Centro,Justicia,40.42242,-3.69562,Entire home/apt,90,5,49,2022-07-31,0.36,1,235,3,0.3561643835616438
124,339144,Rental unit in Madrid · ★4.88 · 1 bedroom · 2 beds · 1 bath,1721158,Pau&Patricia,Centro,Universidad,40.42838,-3.70345,Entire home/apt,65,25,138,2023-05-30,1.01,2,190,7,0.4794520547945205
126,339171,Rental unit in Madrid · ★4.88 · 1 bedroom · 2 beds · 1 bath,1722284,Cesar,Centro,Cortes,40.41285,-3.69553,Entire home/apt,95,3,185,2023-05-04,1.36,1,133,11,0.6356164383561644
127,676566,Rental unit in Madrid · ★4.81 · 2 bedrooms · 3 beds · 1 bath,3317937,Félix,Retiro,Pacífico,40.40222,-3.68096,Entire home/apt,100,3,134,2023-05-07,1.05,1,32,17,0.9123287671232877
128,341939,Rental unit in Madrid · ★4.68 · 1 bedroom · 1 bed · 1 bath,1694537,Miguel Angel & Iaia,Centro,Embajadores,40.41037,-3.70018,Entire home/apt,51,25,178,2023-04-06,1.3,1,38,7,0.8958904109589041
129,342095,Rental unit in Madrid · ★4.78 · 1 bedroom · 2 beds · 1 bath,1703448,Elena,Centro,Embajadores,40.41015,-3.69797,Entire home/apt,88,5,38,2023-04-11,0.28,2,271,4,0.25753424657534246
132,345249,Rental unit in Madrid · ★4.39 · 3 bedrooms · 4 beds · 1.5 baths,1751133,The Punset Family,Tetuán,Almenara,40.47148,-3.68946,Entire home/apt,106,31,29,2023-05-15,0.23,2,347,1,0.049315068493150684
134,684564,Rental unit in Madrid · ★4.72 · 1 bedroom · 2 beds · 1 bath,1941314,Xavier,Centro,Palacio,40.41747,-3.70979,Entire home/apt,161,3,160,2023-04-30,1.35,1,87,9,0.7616438356164383
136,685152,Home in Madrid · ★4.28 · 4 bedrooms · 12 beds · 3 baths,3494012,Farah Maria,Hortaleza,Pinar del Rey,40.4696,-3.65012,Entire home/apt,154,3,136,2023-05-23,1.54,4,276,31,0.24383561643835616
137,361053,Rental unit in Madrid · ★4.57 · 2 bedrooms · 4 beds · 1 bath,1729503,Ana,Retiro,Niño Jesús,40.40988,-3.67503,Entire home/apt,116,2,198,2023-06-09,1.46,2,70,32,0.8082191780821918
138,688795,Rental unit in Madrid · ★4.75 · 2 bedrooms · 6 beds · 2 baths,1732442,Anouk,Centro,Sol,40.41584,-3.70683,Entire home/apt,171,3,184,2023-05-26,1.44,5,347,32,0.049315068493150684
139,363476,Rental unit in Madrid · ★4.55 · 1 bedroom · 1 bed · 1.5 shared baths,1836617,Bibiana,Centro,Sol,40.41676,-3.70682,Private room,49,2,517,2023-06-02,3.8,1,205,58,0.4383561643835616
141,371532,Rental unit in Madrid · ★4.88 · 1 bedroom · 2 beds · 1 bath,1871034,Olga,Centro,Palacio,40.41944,-3.70945,Entire home/apt,85,1,126,2023-05-29,0.93,1,161,26,0.5589041095890411
142,692358,Rental unit in Madrid · ★4.66 · 3 bedrooms · 4 beds · 2 baths,3540348,Román,Villaverde,Los Angeles,40.36089,-3.69594,Entire home/apt,103,3,264,2023-06-06,2.05,7,41,38,0.8876712328767123
143,374558,Rental unit in Madrid · ★4.36 · 1 bedroom · 2 beds · 1 bath,1884261,Henrique Manuel,Centro,Justicia,40.42166,-3.69615,Entire home/apt,73,3,110,2023-05-29,0.89,1,55,10,0.8493150684931506
144,694867,Rental unit in Madrid · ★4.70 · 3 bedrooms · 3 beds · 1 bath,3540348,Román,Villaverde,Los Angeles,40.35701,-3.69643,Entire home/apt,80,3,247,2023-06-09,2.33,7,43,46,0.8821917808219178
147,696928,Rental unit in Madrid · ★4.26 · 2 bedrooms · 4 beds · 1.5 shared baths,3569462,Claudia,Salamanca,Lista,40.43003,-3.67429,Shared room,70,2,77,2023-05-21,0.94,2,364,6,0.0027397260273972603
148,376379,Loft in Madrid · ★4.48 · 1 bedroom · 1 bed · 1 bath,1892467,Laura,Centro,Embajadores,40.41115,-3.69673,Entire home/apt,53,10,33,2023-05-29,0.29,2,259,11,0.29041095890410956
149,396532,Rental unit in Madrid · ★4.86 · 1 bedroom · 2 beds · 1 bath,1981346,Daniel,Centro,Sol,40.41959,-3.70373,Entire home/apt,119,5,120,2023-05-02,0.89,1,282,1,0.2273972602739726
150,704155,Loft in Madrid · ★4.71 · 1 bedroom · 1 bed · 1 bath,3606346,José,Centro,Embajadores,40.41389,-3.70461,Entire home/apt,124,1,327,2023-06-04,2.53,7,77,43,0.7890410958904109
151,397778,Rental unit in Madrid · ★4.37 · 1 bedroom · 1 bed · 1 bath,1408525,Mad4Rent,Centro,Sol,40.41506,-3.7029,Entire home/apt,92,3,58,2023-06-06,0.47,67,261,11,0.28493150684931506
152,708275,Loft in Madrid · ★3.60 · Studio · 2 beds · 1 bath,2785251,Susana,Chamartín,El Viso,40.44374,-3.68161,Entire home/apt,100,120,7,2022-06-30,0.05,2,320,1,0.1232876712328767
153,709208,Rental unit in Madrid · ★4.81 · 1 bedroom · 1 bed · 1.5 baths,3648882,Luz,Centro,Sol,40.41697,-3.70732,Entire home/apt,91,2,676,2023-06-07,5.21,1,303,80,0.16986301369863013
154,398450,Rental unit in Madrid · ★4.68 · 1 bedroom · 2 beds · 1 bath,2150362,Nuria,Centro,Universidad,40.42771,-3.71029,Entire home/apt,71,3,287,2023-05-23,2.12,1,231,26,0.36712328767123287
155,402588,Rental unit in Madrid · ★4.54 · 1 bedroom · 1 bed · 1 bath,1408525,Mad4Rent,Centro,Sol,40.4149,-3.70331,Entire home/apt,98,3,196,2023-05-19,1.57,67,256,27,0.29863013698630136
156,710156,Rental unit in Madrid · ★4.87 · 1 bedroom · 2 beds · 1 shared bath,3654886,Sara,Barajas,Alameda de Osuna,40.45319,-3.592383,Private room,33,1,197,2022-10-02,1.52,2,0,2,1.0
157,404569,Rental unit in Madrid · ★4.42 · 1 bedroom · 1 bed · 1 bath,1408525,Mad4Rent,Centro,Universidad,40.42552,-3.70589,Entire home/apt,110,3,77,2023-06-02,0.76,67,304,16,0.16712328767123288
158,406341,Rental unit in Madrid · ★4.95 · 1 bedroom · 2 beds · 1.5 baths,2024487,Fernando,Salamanca,Lista,40.42978,-3.67817,Private room,28,3,175,2023-05-26,1.29,1,219,32,0.4
159,716292,Rental unit in Madrid · ★4.64 · 1 bedroom · 4 beds · 1 bath,3691303,Paloma,Centro,Universidad,40.42616,-3.70263,Entire home/apt,121,12,91,2023-05-27,0.8,1,210,10,0.4246575342465753
160,414763,Rental unit in Madrid · ★4.61 · Studio · 1 bed · 1 bath,1408525,Mad4Rent,Centro,Palacio,40.41281,-3.70749,Entire home/apt,80,3,71,2023-05-19,0.55,67,252,17,0.3095890410958904
162,717313,Rental unit in Madrid · ★4.89 · 1 bedroom · 1 bed · 2 baths,3698406,Arman,Centro,Palacio,40.41222,-3.71365,Entire home/apt,95,3,199,2023-05-31,1.53,1,207,22,0.4328767123287671
163,427407,Rental unit in Madrid · ★4.73 · Studio · 2 beds · 1.5 baths,2106353,Reyes,Centro,Embajadores,40.41155,-3.70146,Entire home/apt,129,2,13,2022-10-06,0.1,2,247,2,0.3232876712328767
164,721377,Loft in Madrid · ★4.88 · 1 bedroom · 1 bed · 1 bath,3724500,Lucrecia,Fuencarral - El Pardo,Valverde,40.50069,-3.68994,Entire home/apt,50,7,43,2023-06-03,0.34,1,206,6,0.43561643835616437
165,429306,Condo in Madrid · ★4.82 · 2 bedrooms · 4 beds · 2 baths,2134007,Lola,Chamberí,Arapiles,40.43028,-3.70732,Entire home/apt,111,3,216,2023-04-16,1.62,2,92,19,0.7479452054794521
166,723088,Rental unit in Madrid · ★4.78 · 2 bedrooms · 3 beds · 2 baths,2555202,Norah,Centro,Justicia,40.42536,-3.69887,Entire home/apt,100,3,197,2023-06-06,1.52,1,285,24,0.2191780821917808
167,429604,Rental unit in Madrid · ★5.0 · Studio · 2 beds · 1.5 baths,2106353,Reyes,Centro,Cortes,40.4135,-3.70145,Entire home/apt,129,2,7,2023-05-30,0.06,2,249,5,0.3178082191780822
