id,latitude,longitude,price,minimum_nights,number_of_reviews,reviews_per_month,availability_365,bathrooms,accommodates,bedrooms,host_is_superhost,beds,availability_30,monthly_occupancy,month,day,district_key,neighborhood_key,neighbourhood_group,median_price,how_expensive,predict
30950444,40.43665,-3.63535,74,3,80,1.48,133,1.0,2,1.0,1.0,1.0,18,0.4,6,4,15,31,San Blas - Canillejas,60.0,8.0,79.45846614459279
31141987,40.41206,-3.69669,126,7,70,1.31,0,1.0,5,2.0,1.0,3.0,0,1.0,5,29,1,19,Centro,106.0,15.0,128.7176628185678
31147472,40.48629,-3.66793,195,7,10,0.19,45,1.0,4,2.0,1.0,2.0,25,0.16666666666666666,11,5,9,17,Hortaleza,71.0,9.0,159.0632942258823
30952586,40.41149,-3.69701,242,2,145,2.68,147,2.0,8,4.0,0.0,7.0,20,0.3333333333333333,5,15,1,19,Centro,106.0,15.0,218.8939483478277
31149775,40.40872,-3.70855,119,1,19,0.38,213,1.0,4,1.0,0.0,2.0,3,0.9,11,11,1,6,Centro,106.0,15.0,140.3463792947261
30953445,40.41127,-3.70725,63,3,109,2.04,104,1.0,3,,0.0,,4,0.8666666666666667,6,1,1,6,Centro,106.0,15.0,82.14075804045497
31149809,40.40859,-3.70645,113,1,41,0.76,168,1.0,4,1.0,0.0,2.0,2,0.9333333333333333,6,2,1,6,Centro,106.0,15.0,111.32416733934228
31157474,40.4169,-3.67686,256,2,46,0.92,294,2.0,6,3.0,0.0,5.0,5,0.8333333333333334,6,4,6,12,Retiro,88.0,13.0,200.0870877996486
30953550,40.44959,-3.70523,71,3,38,0.72,66,1.0,4,2.0,1.0,1.0,2,0.9333333333333333,4,26,10,81,Tetuán,79.0,11.0,99.6651632351702
31160607,40.42165,-3.707,154,3,224,4.16,120,1.0,5,2.0,0.0,3.0,8,0.7333333333333333,5,21,1,1,Centro,106.0,15.0,142.0645574042159
30959283,40.41678,-3.70951,99,3,154,2.9,264,1.0,4,2.0,0.0,3.0,8,0.7333333333333333,5,18,1,4,Centro,106.0,15.0,135.80619232807
31164846,40.42165,-3.707,122,3,202,3.77,125,1.0,4,2.0,0.0,3.0,14,0.5333333333333333,6,5,1,1,Centro,106.0,15.0,143.30786705525617
31164847,40.42165,-3.707,144,3,185,3.45,131,1.0,5,2.0,0.0,3.0,7,0.7666666666666667,5,26,1,1,Centro,106.0,15.0,141.14477396266653
31164848,40.42165,-3.707,154,3,233,4.34,130,1.0,5,2.0,0.0,2.0,4,0.8666666666666667,6,2,1,1,Centro,106.0,15.0,128.40275480275827
31166704,40.43402373187472,-3.6545030433919945,93,2,87,1.64,24,1.0,4,2.0,1.0,2.0,7,0.7666666666666667,4,18,5,64,Ciudad Lineal,54.0,6.0,110.396260683887
